"ZIP
code [1]",Size of adjusted gross income,Amount
50458,"$50,000 under $75,000",9588
50458,"$75,000 under $100,000",9081
50458,"$100,000 under $200,000",22091
50458,"$200,000 or more",**
,,
50459,,"76,782"
50459,"$1 under $25,000",6980
50459,"$25,000 under $50,000",15233
50459,"$50,000 under $75,000",14900
50459,"$75,000 under $100,000",12706
50459,"$100,000 under $200,000",18125
50459,"$200,000 or more",8838
,,
50460,,"7,865"
50460,"$1 under $25,000",711
50460,"$25,000 under $50,000",1755
50460,"$50,000 under $75,000",2344
50460,"$75,000 under $100,000",**
50460,"$100,000 under $200,000",3055
50460,"$200,000 or more",**
,,
50461,,"159,632"
50461,"$1 under $25,000",11073
50461,"$25,000 under $50,000",24883
50461,"$50,000 under $75,000",28295
50461,"$75,000 under $100,000",24238
50461,"$100,000 under $200,000",40240
50461,"$200,000 or more",30903
,,
50464,,"15,820"
50464,"$1 under $25,000",1141
50464,"$25,000 under $50,000",3814
50464,"$50,000 under $75,000",3009
50464,"$75,000 under $100,000",3613
50464,"$100,000 under $200,000",4243
50464,"$200,000 or more",**
,,
50466,,"42,498"
50466,"$1 under $25,000",3272
50466,"$25,000 under $50,000",8848
50466,"$50,000 under $75,000",6406
50466,"$75,000 under $100,000",7475
50466,"$100,000 under $200,000",8803
50466,"$200,000 or more",7694
,,
50468,,"42,047"
50468,"$1 under $25,000",2974
50468,"$25,000 under $50,000",6568
50468,"$50,000 under $75,000",9007
50468,"$75,000 under $100,000",7062
50468,"$100,000 under $200,000",16436
50468,"$200,000 or more",**
,,
50469,,"41,594"
50469,"$1 under $25,000",2767
50469,"$25,000 under $50,000",6185
50469,"$50,000 under $75,000",8005
50469,"$75,000 under $100,000",9209
50469,"$100,000 under $200,000",15428
50469,"$200,000 or more",**
,,
50470,,"5,059"
50470,"$1 under $25,000",443
50470,"$25,000 under $50,000",2477
50470,"$50,000 under $75,000",**
50470,"$75,000 under $100,000",2139
50470,"$100,000 under $200,000",**
50470,"$200,000 or more",**
,,
50471,,"18,986"
50471,"$1 under $25,000",1397
50471,"$25,000 under $50,000",2625
50471,"$50,000 under $75,000",3290
50471,"$75,000 under $100,000",3485
50471,"$100,000 under $200,000",8189
50471,"$200,000 or more",**
,,
50472,,"71,102"
50472,"$1 under $25,000",3728
50472,"$25,000 under $50,000",8895
50472,"$50,000 under $75,000",10789
50472,"$75,000 under $100,000",11189
50472,"$100,000 under $200,000",21621
50472,"$200,000 or more",14880
,,
50473,,"5,435"
50473,"$1 under $25,000",382
50473,"$25,000 under $50,000",2290
50473,"$50,000 under $75,000",**
50473,"$75,000 under $100,000",2763
50473,"$100,000 under $200,000",**
50473,"$200,000 or more",**
,,
50475,,"46,924"
50475,"$1 under $25,000",2859
50475,"$25,000 under $50,000",7099
50475,"$50,000 under $75,000",10046
50475,"$75,000 under $100,000",7167
50475,"$100,000 under $200,000",11736
50475,"$200,000 or more",8017
,,
50476,,"19,520"
50476,"$1 under $25,000",1385
50476,"$25,000 under $50,000",4021
50476,"$50,000 under $75,000",2484
50476,"$75,000 under $100,000",4121
50476,"$100,000 under $200,000",7509
50476,"$200,000 or more",**
,,
50477,,"6,936"
50477,"$1 under $25,000",867
50477,"$25,000 under $50,000",1326
50477,"$50,000 under $75,000",1377
50477,"$75,000 under $100,000",3366
50477,"$100,000 under $200,000",**
50477,"$200,000 or more",**
,,
50478,,"21,901"
50478,"$1 under $25,000",1716
50478,"$25,000 under $50,000",5537
50478,"$50,000 under $75,000",3911
50478,"$75,000 under $100,000",4037
50478,"$100,000 under $200,000",6700
50478,"$200,000 or more",**
,,
50479,,"17,196"
50479,"$1 under $25,000",930
50479,"$25,000 under $50,000",3735
50479,"$50,000 under $75,000",3017
50479,"$75,000 under $100,000",4318
50479,"$100,000 under $200,000",5196
50479,"$200,000 or more",**
,,
50480,,"23,295"
50480,"$1 under $25,000",1994
50480,"$25,000 under $50,000",4490
50480,"$50,000 under $75,000",5355
50480,"$75,000 under $100,000",4385
50480,"$100,000 under $200,000",7071
50480,"$200,000 or more",**
,,
50482,,"27,126"
50482,"$1 under $25,000",1873
50482,"$25,000 under $50,000",3531
50482,"$50,000 under $75,000",4571
50482,"$75,000 under $100,000",4845
50482,"$100,000 under $200,000",12306
50482,"$200,000 or more",**
,,
50483,,"21,970"
50483,"$1 under $25,000",1316
50483,"$25,000 under $50,000",4563
50483,"$50,000 under $75,000",3340
50483,"$75,000 under $100,000",5009
50483,"$100,000 under $200,000",7742
50483,"$200,000 or more",**
,,
50484,,"8,928"
50484,"$1 under $25,000",690
50484,"$25,000 under $50,000",2113
50484,"$50,000 under $75,000",2610
50484,"$75,000 under $100,000",3515
50484,"$100,000 under $200,000",**
50484,"$200,000 or more",**
,,
50501,,"648,851"
50501,"$1 under $25,000",63647
50501,"$25,000 under $50,000",111423
50501,"$50,000 under $75,000",114807
50501,"$75,000 under $100,000",96526
50501,"$100,000 under $200,000",147691
50501,"$200,000 or more",114757
,,
50510,,"30,947"
50510,"$1 under $25,000",2012
50510,"$25,000 under $50,000",5028
50510,"$50,000 under $75,000",4661
50510,"$75,000 under $100,000",6419
50510,"$100,000 under $200,000",12827
50510,"$200,000 or more",**
,,
50511,,"239,031"
50511,"$1 under $25,000",13244
50511,"$25,000 under $50,000",34053
50511,"$50,000 under $75,000",34989
50511,"$75,000 under $100,000",35655
50511,"$100,000 under $200,000",53147
50511,"$200,000 or more",67943
,,
50514,,"38,227"
50514,"$1 under $25,000",2715
50514,"$25,000 under $50,000",6800
50514,"$50,000 under $75,000",8128
50514,"$75,000 under $100,000",5714
50514,"$100,000 under $200,000",14870
50514,"$200,000 or more",**
,,
50515,,"5,257"
50515,"$1 under $25,000",639
50515,"$25,000 under $50,000",2278
50515,"$50,000 under $75,000",**
50515,"$75,000 under $100,000",2340
50515,"$100,000 under $200,000",**
50515,"$200,000 or more",**
,,
50516,,"17,326"
50516,"$1 under $25,000",1223
50516,"$25,000 under $50,000",2808
50516,"$50,000 under $75,000",4909
50516,"$75,000 under $100,000",4218
50516,"$100,000 under $200,000",4168
50516,"$200,000 or more",**
,,
50517,,"26,064"
50517,"$1 under $25,000",2139
50517,"$25,000 under $50,000",4448
50517,"$50,000 under $75,000",5527
50517,"$75,000 under $100,000",3984
50517,"$100,000 under $200,000",9966
50517,"$200,000 or more",**
,,
50518,,"10,190"
50518,"$1 under $25,000",799
50518,"$25,000 under $50,000",1056
50518,"$50,000 under $75,000",2985
50518,"$75,000 under $100,000",**
50518,"$100,000 under $200,000",5350
50518,"$200,000 or more",**
,,
50519,,"15,368"
50519,"$1 under $25,000",996
50519,"$25,000 under $50,000",3804
50519,"$50,000 under $75,000",2814
50519,"$75,000 under $100,000",3029
50519,"$100,000 under $200,000",4725
50519,"$200,000 or more",**
,,
50522,,"17,433"
50522,"$1 under $25,000",1666
50522,"$25,000 under $50,000",4253
50522,"$50,000 under $75,000",3645
50522,"$75,000 under $100,000",3737
50522,"$100,000 under $200,000",4132
50522,"$200,000 or more",**
,,
50523,,"15,325"
50523,"$1 under $25,000",916
50523,"$25,000 under $50,000",2566
50523,"$50,000 under $75,000",3121
50523,"$75,000 under $100,000",3655
50523,"$100,000 under $200,000",5067
50523,"$200,000 or more",**
,,
50524,,"16,861"
50524,"$1 under $25,000",1041
50524,"$25,000 under $50,000",2077
50524,"$50,000 under $75,000",2670
50524,"$75,000 under $100,000",2137
50524,"$100,000 under $200,000",8936
50524,"$200,000 or more",**
,,
50525,,"89,606"
50525,"$1 under $25,000",7522
50525,"$25,000 under $50,000",16890
50525,"$50,000 under $75,000",16053
50525,"$75,000 under $100,000",13067
50525,"$100,000 under $200,000",21867
50525,"$200,000 or more",14207
,,
50528,,"10,025"
50528,"$1 under $25,000",657
50528,"$25,000 under $50,000",1668
50528,"$50,000 under $75,000",2149
50528,"$75,000 under $100,000",2549
50528,"$100,000 under $200,000",3002
50528,"$200,000 or more",**
,,
50529,,"19,552"
50529,"$1 under $25,000",1991
50529,"$25,000 under $50,000",4648
50529,"$50,000 under $75,000",4044
50529,"$75,000 under $100,000",3715
50529,"$100,000 under $200,000",5154
50529,"$200,000 or more",**
,,
50530,,"23,784"
50530,"$1 under $25,000",2076
50530,"$25,000 under $50,000",5043
50530,"$50,000 under $75,000",5306
50530,"$75,000 under $100,000",4243
50530,"$100,000 under $200,000",7116
50530,"$200,000 or more",**
,,
50531,,"5,675"
50531,"$1 under $25,000",371
50531,"$25,000 under $50,000",931
50531,"$50,000 under $75,000",1564
50531,"$75,000 under $100,000",2809
50531,"$100,000 under $200,000",**
50531,"$200,000 or more",**
,,
50532,,"21,439"
50532,"$1 under $25,000",1672
50532,"$25,000 under $50,000",4776
50532,"$50,000 under $75,000",4625
50532,"$75,000 under $100,000",3642
50532,"$100,000 under $200,000",6724
50532,"$200,000 or more",**
,,
50533,,"86,819"
50533,"$1 under $25,000",8206
50533,"$25,000 under $50,000",18624
50533,"$50,000 under $75,000",16603
50533,"$75,000 under $100,000",13915
50533,"$100,000 under $200,000",18226
50533,"$200,000 or more",11245
,,
50535,,"22,826"
50535,"$1 under $25,000",1762
50535,"$25,000 under $50,000",4277
50535,"$50,000 under $75,000",4412
50535,"$75,000 under $100,000",4145
50535,"$100,000 under $200,000",8230
50535,"$200,000 or more",**
,,
50536,,"115,364"
50536,"$1 under $25,000",8900
50536,"$25,000 under $50,000",19723
50536,"$50,000 under $75,000",19207
50536,"$75,000 under $100,000",16921
50536,"$100,000 under $200,000",29484
50536,"$200,000 or more",21129
,,
50538,,"12,200"
50538,"$1 under $25,000",1340
50538,"$25,000 under $50,000",2924
50538,"$50,000 under $75,000",2601
50538,"$75,000 under $100,000",2567
50538,"$100,000 under $200,000",2768
50538,"$200,000 or more",**
,,
50539,,"12,620"
50539,"$1 under $25,000",1235
50539,"$25,000 under $50,000",2420
50539,"$50,000 under $75,000",2371
50539,"$75,000 under $100,000",1980
50539,"$100,000 under $200,000",4614
50539,"$200,000 or more",**
,,
50540,,"25,610"
50540,"$1 under $25,000",2076
50540,"$25,000 under $50,000",4488
50540,"$50,000 under $75,000",4584
50540,"$75,000 under $100,000",4127
50540,"$100,000 under $200,000",10335
50540,"$200,000 or more",**
,,
50541,,"20,880"
50541,"$1 under $25,000",1827
50541,"$25,000 under $50,000",3698
50541,"$50,000 under $75,000",3776
50541,"$75,000 under $100,000",3863
50541,"$100,000 under $200,000",7716
50541,"$200,000 or more",**
,,
50542,,"27,394"
50542,"$1 under $25,000",1625
50542,"$25,000 under $50,000",4129
50542,"$50,000 under $75,000",3863
50542,"$75,000 under $100,000",5085
50542,"$100,000 under $200,000",5364
50542,"$200,000 or more",7328
,,
50543,,"35,990"
50543,"$1 under $25,000",2862
50543,"$25,000 under $50,000",6613
50543,"$50,000 under $75,000",7909
50543,"$75,000 under $100,000",7715
50543,"$100,000 under $200,000",10891
50543,"$200,000 or more",**
,,
50544,,"12,346"
50544,"$1 under $25,000",967
50544,"$25,000 under $50,000",2437
50544,"$50,000 under $75,000",2527
50544,"$75,000 under $100,000",2433
50544,"$100,000 under $200,000",3982
50544,"$200,000 or more",**
,,
50545,,"6,659"
50545,"$1 under $25,000",474
50545,"$25,000 under $50,000",2029
50545,"$50,000 under $75,000",**
50545,"$75,000 under $100,000",4156
50545,"$100,000 under $200,000",**
50545,"$200,000 or more",**
,,
50546,,"9,249"
50546,"$1 under $25,000",763
50546,"$25,000 under $50,000",1484
50546,"$50,000 under $75,000",3870
50546,"$75,000 under $100,000",**
50546,"$100,000 under $200,000",3132
50546,"$200,000 or more",**
,,
50548,,"190,826"
50548,"$1 under $25,000",10898
50548,"$25,000 under $50,000",24245
50548,"$50,000 under $75,000",25406
50548,"$75,000 under $100,000",29117
50548,"$100,000 under $200,000",47997
50548,"$200,000 or more",53163
,,
50554,,"39,718"
50554,"$1 under $25,000",3420
50554,"$25,000 under $50,000",8712
50554,"$50,000 under $75,000",7168
50554,"$75,000 under $100,000",6179
50554,"$100,000 under $200,000",14239
50554,"$200,000 or more",**
,,
50556,,"7,646"
50556,"$1 under $25,000",730
50556,"$25,000 under $50,000",1333
50556,"$50,000 under $75,000",2122
50556,"$75,000 under $100,000",**
50556,"$100,000 under $200,000",3461
50556,"$200,000 or more",**
,,
50557,,"17,990"
50557,"$1 under $25,000",1822
50557,"$25,000 under $50,000",2394
50557,"$50,000 under $75,000",4732
50557,"$75,000 under $100,000",3086
50557,"$100,000 under $200,000",5956
50557,"$200,000 or more",**
,,
50558,,"18,213"
50558,"$1 under $25,000",1042
50558,"$25,000 under $50,000",3047
50558,"$50,000 under $75,000",2871
50558,"$75,000 under $100,000",3551
50558,"$100,000 under $200,000",7702
50558,"$200,000 or more",**
,,
50559,,"9,605"
50559,"$1 under $25,000",690
50559,"$25,000 under $50,000",1627
50559,"$50,000 under $75,000",2026
50559,"$75,000 under $100,000",2156
50559,"$100,000 under $200,000",3106
50559,"$200,000 or more",**
,,
50560,,"13,144"
50560,"$1 under $25,000",1106
50560,"$25,000 under $50,000",3340
50560,"$50,000 under $75,000",2089
50560,"$75,000 under $100,000",2648
50560,"$100,000 under $200,000",3961
50560,"$200,000 or more",**
,,
50561,,"13,550"
50561,"$1 under $25,000",919
50561,"$25,000 under $50,000",2457
50561,"$50,000 under $75,000",2699
50561,"$75,000 under $100,000",2447
50561,"$100,000 under $200,000",5028
50561,"$200,000 or more",**
,,
50562,,"10,590"
50562,"$1 under $25,000",940
50562,"$25,000 under $50,000",1999
50562,"$50,000 under $75,000",2292
50562,"$75,000 under $100,000",5359
50562,"$100,000 under $200,000",**
50562,"$200,000 or more",**
,,
50563,,"72,064"
50563,"$1 under $25,000",4602
50563,"$25,000 under $50,000",10498
50563,"$50,000 under $75,000",14112
50563,"$75,000 under $100,000",10852
50563,"$100,000 under $200,000",18964
50563,"$200,000 or more",13036
,,
50565,,"11,349"
50565,"$1 under $25,000",1090
50565,"$25,000 under $50,000",2388
50565,"$50,000 under $75,000",3654
50565,"$75,000 under $100,000",**
50565,"$100,000 under $200,000",4217
50565,"$200,000 or more",**
,,
50566,,"11,516"
50566,"$1 under $25,000",1052
50566,"$25,000 under $50,000",1807
50566,"$50,000 under $75,000",3970
50566,"$75,000 under $100,000",**
50566,"$100,000 under $200,000",4687
50566,"$200,000 or more",**
,,
50567,,"6,629"
50567,"$1 under $25,000",363
50567,"$25,000 under $50,000",1946
50567,"$50,000 under $75,000",**
50567,"$75,000 under $100,000",4320
50567,"$100,000 under $200,000",**
50567,"$200,000 or more",**
,,
50568,,"37,874"
50568,"$1 under $25,000",2281
50568,"$25,000 under $50,000",6414
50568,"$50,000 under $75,000",7519
50568,"$75,000 under $100,000",7082
50568,"$100,000 under $200,000",14578
50568,"$200,000 or more",**
,,
50569,,"17,895"
50569,"$1 under $25,000",1780
50569,"$25,000 under $50,000",3569
50569,"$50,000 under $75,000",4327
50569,"$75,000 under $100,000",4310
50569,"$100,000 under $200,000",3909
50569,"$200,000 or more",**
,,
50571,,"9,711"
50571,"$1 under $25,000",911
50571,"$25,000 under $50,000",1750
50571,"$50,000 under $75,000",3403
50571,"$75,000 under $100,000",**
50571,"$100,000 under $200,000",3647
50571,"$200,000 or more",**
,,
50574,,"59,064"
50574,"$1 under $25,000",4325
50574,"$25,000 under $50,000",11089
50574,"$50,000 under $75,000",9442
50574,"$75,000 under $100,000",9962
50574,"$100,000 under $200,000",18378
50574,"$200,000 or more",5868
,,
50575,,"23,444"
50575,"$1 under $25,000",1946
50575,"$25,000 under $50,000",4256
50575,"$50,000 under $75,000",4691
50575,"$75,000 under $100,000",3196
50575,"$100,000 under $200,000",9355
50575,"$200,000 or more",**
,,
50576,,"11,156"
50576,"$1 under $25,000",730
50576,"$25,000 under $50,000",2078
50576,"$50,000 under $75,000",3906
50576,"$75,000 under $100,000",**
50576,"$100,000 under $200,000",4442
50576,"$200,000 or more",**
,,
50577,,"10,115"
50577,"$1 under $25,000",832
50577,"$25,000 under $50,000",2257
50577,"$50,000 under $75,000",1895
50577,"$75,000 under $100,000",5131
50577,"$100,000 under $200,000",**
50577,"$200,000 or more",**
,,
50578,,"16,060"
50578,"$1 under $25,000",1188
50578,"$25,000 under $50,000",2899
50578,"$50,000 under $75,000",3019
50578,"$75,000 under $100,000",1896
50578,"$100,000 under $200,000",7058
50578,"$200,000 or more",**
,,
50579,,"63,781"
50579,"$1 under $25,000",4808
50579,"$25,000 under $50,000",10123
50579,"$50,000 under $75,000",12227
50579,"$75,000 under $100,000",11378
50579,"$100,000 under $200,000",16858
50579,"$200,000 or more",8387
,,
50581,,"21,323"
50581,"$1 under $25,000",1720
50581,"$25,000 under $50,000",3410
50581,"$50,000 under $75,000",3942
50581,"$75,000 under $100,000",4056
50581,"$100,000 under $200,000",8195
50581,"$200,000 or more",**
,,
50583,,"72,149"
50583,"$1 under $25,000",5852
50583,"$25,000 under $50,000",13310
50583,"$50,000 under $75,000",15127
50583,"$75,000 under $100,000",11145
50583,"$100,000 under $200,000",15080
50583,"$200,000 or more",11635
,,
50585,,"32,691"
50585,"$1 under $25,000",2123
50585,"$25,000 under $50,000",5567
50585,"$50,000 under $75,000",5981
50585,"$75,000 under $100,000",5159
50585,"$100,000 under $200,000",13861
50585,"$200,000 or more",**
,,
50586,,"7,181"
50586,"$1 under $25,000",562
50586,"$25,000 under $50,000",1571
50586,"$50,000 under $75,000",1607
50586,"$75,000 under $100,000",3441
50586,"$100,000 under $200,000",**
50586,"$200,000 or more",**
,,
50588,,"309,305"
50588,"$1 under $25,000",27941
50588,"$25,000 under $50,000",77614
50588,"$50,000 under $75,000",52549
50588,"$75,000 under $100,000",35164
50588,"$100,000 under $200,000",56986
50588,"$200,000 or more",59051
,,
50590,,"18,067"
50590,"$1 under $25,000",1856
50590,"$25,000 under $50,000",4035
50590,"$50,000 under $75,000",4051
50590,"$75,000 under $100,000",3312
50590,"$100,000 under $200,000",4813
50590,"$200,000 or more",**
,,
50591,,"6,900"
50591,"$1 under $25,000",653
50591,"$25,000 under $50,000",1381
50591,"$50,000 under $75,000",1927
50591,"$75,000 under $100,000",2939
50591,"$100,000 under $200,000",**
50591,"$200,000 or more",**
,,
50594,,"7,692"
50594,"$1 under $25,000",280
50594,"$25,000 under $50,000",1772
50594,"$50,000 under $75,000",1725
50594,"$75,000 under $100,000",3915
50594,"$100,000 under $200,000",**
50594,"$200,000 or more",**
,,
50595,,"226,506"
50595,"$1 under $25,000",19475
50595,"$25,000 under $50,000",42099
50595,"$50,000 under $75,000",39323
50595,"$75,000 under $100,000",37028
50595,"$100,000 under $200,000",48910
50595,"$200,000 or more",39671
,,
50597,,"36,489"
50597,"$1 under $25,000",2552
50597,"$25,000 under $50,000",5889
50597,"$50,000 under $75,000",7220
50597,"$75,000 under $100,000",7381
50597,"$100,000 under $200,000",13447
50597,"$200,000 or more",**
,,
50598,,"22,699"
50598,"$1 under $25,000",1768
50598,"$25,000 under $50,000",4739
50598,"$50,000 under $75,000",6065
50598,"$75,000 under $100,000",4178
50598,"$100,000 under $200,000",5949
50598,"$200,000 or more",**
,,
50599,,"12,090"
50599,"$1 under $25,000",619
50599,"$25,000 under $50,000",2012
50599,"$50,000 under $75,000",1922
50599,"$75,000 under $100,000",2547
50599,"$100,000 under $200,000",4990
50599,"$200,000 or more",**
,,
50601,,"61,502"
50601,"$1 under $25,000",4731
50601,"$25,000 under $50,000",10632
50601,"$50,000 under $75,000",12902
50601,"$75,000 under $100,000",11406
50601,"$100,000 under $200,000",15709
50601,"$200,000 or more",6122
,,
50602,,"38,942"
50602,"$1 under $25,000",2950
50602,"$25,000 under $50,000",6965
50602,"$50,000 under $75,000",9374
50602,"$75,000 under $100,000",7318
50602,"$100,000 under $200,000",12335
50602,"$200,000 or more",**
,,
50603,,"14,934"
50603,"$1 under $25,000",1228
50603,"$25,000 under $50,000",3284
50603,"$50,000 under $75,000",2309
50603,"$75,000 under $100,000",2663
50603,"$100,000 under $200,000",5450
50603,"$200,000 or more",**
,,
50604,,"46,292"
50604,"$1 under $25,000",2861
50604,"$25,000 under $50,000",7357
50604,"$50,000 under $75,000",10364
50604,"$75,000 under $100,000",9275
50604,"$100,000 under $200,000",16435
50604,"$200,000 or more",**
,,
50606,,"19,804"
50606,"$1 under $25,000",1472
50606,"$25,000 under $50,000",3497
50606,"$50,000 under $75,000",4182
50606,"$75,000 under $100,000",3905
50606,"$100,000 under $200,000",6748
50606,"$200,000 or more",**
,,
50607,,"13,903"
50607,"$1 under $25,000",886
50607,"$25,000 under $50,000",2050
50607,"$50,000 under $75,000",2444
50607,"$75,000 under $100,000",2520
50607,"$100,000 under $200,000",6003
50607,"$200,000 or more",**
,,
50609,,"12,890"
50609,"$1 under $25,000",782
50609,"$25,000 under $50,000",1256
50609,"$50,000 under $75,000",2447
50609,"$75,000 under $100,000",3305
50609,"$100,000 under $200,000",5100
50609,"$200,000 or more",**
,,
50611,,"7,688"
50611,"$1 under $25,000",838
50611,"$25,000 under $50,000",2036
50611,"$50,000 under $75,000",1457
50611,"$75,000 under $100,000",3357
50611,"$100,000 under $200,000",**
50611,"$200,000 or more",**
,,
50612,,"20,232"
50612,"$1 under $25,000",1096
50612,"$25,000 under $50,000",**
50612,"$50,000 under $75,000",1404
50612,"$75,000 under $100,000",2075
50612,"$100,000 under $200,000",15657
50612,"$200,000 or more",**
,,
50613,,"1,334,344"
50613,"$1 under $25,000",72400
50613,"$25,000 under $50,000",139092
50613,"$50,000 under $75,000",159860
50613,"$75,000 under $100,000",177422
50613,"$100,000 under $200,000",404836
50613,"$200,000 or more",380734
,,
50616,,"243,666"
50616,"$1 under $25,000",21114
50616,"$25,000 under $50,000",42265
50616,"$50,000 under $75,000",45504
50616,"$75,000 under $100,000",40028
50616,"$100,000 under $200,000",55841
50616,"$200,000 or more",38914
,,
50619,,"57,530"
50619,"$1 under $25,000",4167
50619,"$25,000 under $50,000",10793
50619,"$50,000 under $75,000",11820
50619,"$75,000 under $100,000",12263
50619,"$100,000 under $200,000",13211
50619,"$200,000 or more",5276
,,
50621,,"47,648"
50621,"$1 under $25,000",1911
50621,"$25,000 under $50,000",5006
50621,"$50,000 under $75,000",6777
50621,"$75,000 under $100,000",9234
50621,"$100,000 under $200,000",15890
50621,"$200,000 or more",8830
,,
50622,,"124,424"
50622,"$1 under $25,000",4552
50622,"$25,000 under $50,000",11447
50622,"$50,000 under $75,000",15130
50622,"$75,000 under $100,000",18538
50622,"$100,000 under $200,000",39489
50622,"$200,000 or more",35268
,,
50624,,"68,445"
50624,"$1 under $25,000",2754
50624,"$25,000 under $50,000",5473
50624,"$50,000 under $75,000",8161
50624,"$75,000 under $100,000",10763
50624,"$100,000 under $200,000",23051
50624,"$200,000 or more",18243
,,
50625,,"21,479"
50625,"$1 under $25,000",1924
50625,"$25,000 under $50,000",4365
50625,"$50,000 under $75,000",5093
50625,"$75,000 under $100,000",4445
50625,"$100,000 under $200,000",5652
50625,"$200,000 or more",**
,,
50626,,"43,266"
50626,"$1 under $25,000",3116
50626,"$25,000 under $50,000",7044
50626,"$50,000 under $75,000",8829
50626,"$75,000 under $100,000",9217
50626,"$100,000 under $200,000",15060
50626,"$200,000 or more",**
,,
50627,,"76,770"
50627,"$1 under $25,000",6881
50627,"$25,000 under $50,000",14994
50627,"$50,000 under $75,000",13343
50627,"$75,000 under $100,000",13178
50627,"$100,000 under $200,000",20559
50627,"$200,000 or more",7815
,,
50628,,"32,587"
50628,"$1 under $25,000",2517
50628,"$25,000 under $50,000",5656
50628,"$50,000 under $75,000",6051
50628,"$75,000 under $100,000",5929
50628,"$100,000 under $200,000",12434
50628,"$200,000 or more",**
,,
50629,,"57,195"
50629,"$1 under $25,000",3615
50629,"$25,000 under $50,000",8417
50629,"$50,000 under $75,000",9516
50629,"$75,000 under $100,000",12614
50629,"$100,000 under $200,000",23033
50629,"$200,000 or more",**
,,
50630,,"42,663"
50630,"$1 under $25,000",2624
50630,"$25,000 under $50,000",7537
50630,"$50,000 under $75,000",8725
50630,"$75,000 under $100,000",8738
50630,"$100,000 under $200,000",15039
50630,"$200,000 or more",**
,,
50632,,"25,489"
50632,"$1 under $25,000",1951
50632,"$25,000 under $50,000",5434
50632,"$50,000 under $75,000",5438
50632,"$75,000 under $100,000",4360
50632,"$100,000 under $200,000",8306
50632,"$200,000 or more",**
,,
50633,,"9,915"
50633,"$1 under $25,000",670
50633,"$25,000 under $50,000",1584
50633,"$50,000 under $75,000",3336
50633,"$75,000 under $100,000",**
50633,"$100,000 under $200,000",4325
50633,"$200,000 or more",**
,,
50635,,"42,970"
50635,"$1 under $25,000",2861
50635,"$25,000 under $50,000",7889
50635,"$50,000 under $75,000",7271
50635,"$75,000 under $100,000",9379
50635,"$100,000 under $200,000",15570
50635,"$200,000 or more",**
,,
50636,,"53,921"
50636,"$1 under $25,000",3759
50636,"$25,000 under $50,000",8784
50636,"$50,000 under $75,000",10159
50636,"$75,000 under $100,000",9855
50636,"$100,000 under $200,000",15168
50636,"$200,000 or more",6196
,,
50638,,"103,051"
50638,"$1 under $25,000",5978
50638,"$25,000 under $50,000",13618
50638,"$50,000 under $75,000",17948
50638,"$75,000 under $100,000",18596
50638,"$100,000 under $200,000",25433
50638,"$200,000 or more",21478
,,
50641,,"26,353"
50641,"$1 under $25,000",3287
50641,"$25,000 under $50,000",5721
50641,"$50,000 under $75,000",6228
50641,"$75,000 under $100,000",5459
50641,"$100,000 under $200,000",5658
50641,"$200,000 or more",**
,,
50642,,"13,559"
50642,"$1 under $25,000",712
50642,"$25,000 under $50,000",2495
50642,"$50,000 under $75,000",2658
50642,"$75,000 under $100,000",3319
50642,"$100,000 under $200,000",4375
50642,"$200,000 or more",0
,,
50643,,"97,936"
50643,"$1 under $25,000",3816
50643,"$25,000 under $50,000",10036
50643,"$50,000 under $75,000",12443
50643,"$75,000 under $100,000",17222
50643,"$100,000 under $200,000",37183
50643,"$200,000 or more",17236
,,
50644,,"237,483"
50644,"$1 under $25,000",17835
50644,"$25,000 under $50,000",38887
50644,"$50,000 under $75,000",43911
50644,"$75,000 under $100,000",41844
50644,"$100,000 under $200,000",62865
50644,"$200,000 or more",32141
,,
50645,,"36,796"
50645,"$1 under $25,000",2052
50645,"$25,000 under $50,000",4917
50645,"$50,000 under $75,000",5759
50645,"$75,000 under $100,000",5419
50645,"$100,000 under $200,000",6349
50645,"$200,000 or more",12300
,,
50647,,"59,295"
50647,"$1 under $25,000",3343
50647,"$25,000 under $50,000",7433
50647,"$50,000 under $75,000",9958
50647,"$75,000 under $100,000",13108
50647,"$100,000 under $200,000",17961
50647,"$200,000 or more",7492
,,
50648,,"127,695"
50648,"$1 under $25,000",6767
50648,"$25,000 under $50,000",15976
50648,"$50,000 under $75,000",20176
50648,"$75,000 under $100,000",22806
50648,"$100,000 under $200,000",39711
50648,"$200,000 or more",22259
,,
50650,,"20,026"
50650,"$1 under $25,000",1535
50650,"$25,000 under $50,000",4128
50650,"$50,000 under $75,000",4090
50650,"$75,000 under $100,000",3591
50650,"$100,000 under $200,000",6682
50650,"$200,000 or more",**
,,
50651,,"106,708"
50651,"$1 under $25,000",6196
50651,"$25,000 under $50,000",15053
50651,"$50,000 under $75,000",18236
50651,"$75,000 under $100,000",18320
50651,"$100,000 under $200,000",34199
50651,"$200,000 or more",14704
,,
50653,,"17,291"
50653,"$1 under $25,000",934
50653,"$25,000 under $50,000",3546
50653,"$50,000 under $75,000",3389
50653,"$75,000 under $100,000",3258
50653,"$100,000 under $200,000",6164
50653,"$200,000 or more",**
,,
50654,,"13,778"
50654,"$1 under $25,000",908
50654,"$25,000 under $50,000",2586
50654,"$50,000 under $75,000",2060
50654,"$75,000 under $100,000",2741
50654,"$100,000 under $200,000",5483
50654,"$200,000 or more",**
,,
50655,,"18,372"
