Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
169,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,0%,"2,331,871","247,857",233498,226504,222795,220211,205913,210020,219442,207103,176448,162080
170,NM,MT,GPI,Kalispell,Glacier Park International,P,N,0%,"2,052,099","224,820",199707,192439,179064,175222,160193,186450,187944,175157,192507,178596
171,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,0%,"1,472,290","211,648",204212,200400,190716,169923,194838,300553,,,,
172,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,0%,"2,275,618","217,648",206686,214892,221256,222755,216868,213381,182268,201642,193961,184261
173,EA,WV,CRW,Charleston,Yeager,P,N,0%,"2,957,513","241,566",250509,272901,282704,264818,238190,243793,269726,284159,317093,292054
174,SO,FL,MLB,Melbourne,Melbourne International,P,N,0%,"2,012,139","214,704",211702,215300,207829,180441,110510,145117,137102,162079,226207,201148
175,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,0%,"2,324,921","230,436",244345,255406,259445,258986,231002,202597,175432,154966,153524,158782
176,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,0%,"2,376,743","214,805",216536,222060,228367,213422,204244,219745,219109,213233,221866,203356
177,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,0%,"2,352,229","215,259",204402,206904,220586,202114,217783,202730,212809,211177,244815,213650
178,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,0%,"2,148,942","214,313",211091,217369,217988,219358,228850,212588,170443,159509,156815,140618
179,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,0%,"1,801,215","206,820",198388,190461,177282,159499,130166,136623,142068,153532,171036,135340
180,GL,MI,TVC,Traverse City,Cherry Capital,P,N,0%,"2,091,433","196,451",189644,179879,170977,167488,175692,183357,202048,208520,219188,198189
181,GL,IN,EVV,Evansville,Evansville Regional,P,N,0%,"2,114,978","171,212",161279,164767,169426,169967,153993,193349,222654,234308,244352,229671
182,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,0%,"2,170,956","212,239",201453,215448,230556,241976,225924,240270,196018,174400,122293,110379
183,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,0%,"4,868,599","259,082",263964,314139,516789,519906,498205,504292,513381,513367,514361,451113
184,NM,CO,DRO,Durango,Durango-La Plata County,P,N,0%,"1,622,979","193,764",192797,186567,175649,163611,148077,134386,116310,113516,101742,96560
185,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,0%,"2,689,971","204,523",211957,240181,284852,274677,243448,262846,262980,256708,227881,219918
186,NM,MT,GTF,Great Falls,Great Falls International,P,N,0%,"1,748,587","190,361",182390,186790,168158,155204,146438,143811,145452,139362,156859,133762
187,GL,ND,MOT,Minot,Minot International,P,N,0%,"1,341,195","219,957",220797,222188,151424,91120,67080,71595,70960,75013,76467,74594
188,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,0%,"478,696","128,415",127040,79531,36971,6978,15482,18946,17593,18106,16305,13329
189,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,0%,"2,487,248","202,118",216925,200836,186341,136548,139113,217437,256563,286358,314593,330416
190,WP,CA,MRY,Monterey,Monterey Regional,P,N,0%,"2,153,389","186,935",205069,196268,181640,190527,191585,207964,215797,200091,193728,183785
191,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,0%,"2,187,030","189,529",195899,183501,219753,243861,231500,232299,216129,209236,192887,72436
192,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,0%,"2,006,847","185,899",182752,200727,184331,187211,173373,169665,182467,186891,187461,166070
193,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,0%,"2,015,242","169,764",157958,182313,188177,194540,163864,169956,181231,188329,203557,215553
194,CE,NE,LNK,Lincoln,Lincoln,P,N,0%,"1,785,017","142,205",138787,135085,135647,143230,142507,163177,170105,190456,203586,220232
195,SW,LA,AEX,Alexandria,Alexandria International,P,N,0%,"1,787,937","175,526",183899,189476,188286,179129,154736,142223,145761,137283,138494,153124
196,AL,AK,BET,Bethel,Bethel,P,N,0%,"1,592,613","155,936",152084,148168,152366,144353,134848,140291,143341,137521,143670,140035
197,NM,CO,EGE,Eagle,Eagle County Regional,P,N,0%,"2,141,032","165,004",167166,167914,189276,201010,181666,212832,231719,217039,213233,194173
198,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,0%,"2,422,116","170,361",183557,179128,169352,201390,204981,258214,282197,276866,252757,243313
199,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,0%,"1,303,681","159,136",129749,145243,152582,131358,114519,104508,99211,83328,86925,97122
200,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,0%,"1,440,798","157,012",168828,174358,170118,154307,119961,126947,116791,87512,92327,72637
201,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,0%,"1,626,940","166,864",147073,160456,149315,144365,138957,148584,166503,152146,135058,117619
202,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,0%,"844,769","128,515",140886,147794,71316,60682,62592,65351,25947,66731,25945,49010
203,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,0%,"1,203,791","146,003",148665,137953,118872,117980,97361,88093,82700,86353,88065,91746
204,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,0%,"1,632,495","151,394",135844,127336,132692,129220,118282,150089,179784,174869,174878,158107
205,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,0%,"1,028,203","183,604",100793,86090,85244,84401,80350,82723,91258,90580,76573,66587
206,EA,NY,SWF,Newburgh,Stewart International,P,N,0%,"2,570,959","158,556",163815,185389,209966,201684,197655,392464,455045,156638,199741,250006
207,EA,PA,UNV,State College,University Park,P,N,0%,"1,521,361","142,551",131753,137599,144054,143531,130527,133777,144160,132543,143800,137066
208,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,0%,"759,839","139,676",151235,112493,139698,94808,73159,45998,2772,0,,
209,GL,MN,DLH,Duluth,Duluth International,P,N,0%,"1,644,148","153,583",155496,158569,146620,150556,125451,147793,169971,139480,146394,150235
210,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,0%,"776,875","117,046",112779,105728,102414,92778,91241,100676,53920,238,35,20
211,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,0%,"1,608,244","125,395",123797,120449,135965,156251,144961,154312,158747,161449,163557,163361
212,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,0%,"1,173,076","115,948",109433,103136,102086,100138,96996,108837,111048,108102,110211,107141
213,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,0%,"1,827,910","134,832",129211,127517,148634,135555,130769,168687,188992,205637,235948,222128
214,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,0%,"465,544","111,212",98958,88571,98982,23849,17617,14122,9260,1409,660,904
215,WP,CA,BFL,Bakersfield,Meadows Field,P,N,0%,"1,541,564","140,007",143175,152456,148347,111699,103067,141847,164400,171913,146607,118046
216,GL,MI,MBS,Saginaw,MBS International,P,N,0%,"1,797,533","122,918",120689,134801,136594,146870,144938,162703,186739,200150,213669,227462
217,GL,MN,RST,Rochester,Rochester International,P,N,0%,"1,435,626","119,874",109870,105371,110295,120063,128543,151250,160452,149600,142267,138041
218,SW,LA,MLU,Monroe,Monroe Regional,P,N,0%,"1,166,272","120,589",115757,101034,107290,100419,85314,88229,109011,111119,112086,115424
219,SW,TX,LRD,Laredo,Laredo International,P,N,0%,"1,138,130","116,565",109773,102247,101780,112520,101252,106682,113974,97331,92316,83690
220,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,0%,"1,212,288","118,749",121479,125873,124085,126800,112881,111184,104105,85015,93768,88349
221,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,0%,"1,166,697","99,443",109647,110799,113280,121468,107595,122192,109366,89316,88102,95489
222,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,0%,"1,066,463","111,983",109384,106412,102559,96974,96812,110151,110835,89842,82282,49229
223,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,0%,"911,877","103,397",98625,88013,77758,83342,73969,74167,76566,78665,88731,68644
224,NM,CO,MTJ,Montrose,Montrose Regional,P,N,0%,"938,412","90,630",84579,75296,87228,96601,92195,85868,92582,82316,78669,72448
225,GL,ND,ISN,Williston,Sloulin Field International,P,N,0%,"347,826","114,281",96090,40667,28202,16473,11338,12163,10396,6455,5569,6192
226,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,0%,"907,486","96,367",98752,105548,112522,115263,103972,83531,62364,37459,50289,41419
227,NM,MT,HLN,Helena,Helena Regional,P,N,0%,"1,011,045","96,869",97310,95374,100695,98193,88314,85649,83402,87958,93204,84077
228,SO,PR,PSE,Ponce,Mercedita,P,N,0%,"923,355","97,271",93566,95787,95658,97660,90267,110159,118699,89908,30996,3384
229,AL,AK,ENA,Kenai,Kenai Municipal,P,N,0%,"1,017,965","100,448",99821,99955,90806,86857,82184,96565,94720,93246,87924,85439
230,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,0%,"1,201,042","98,869",90297,97321,102958,109962,104537,111462,121243,118647,122068,123678
231,GL,OH,TOL,Toledo,Toledo Express,P,N,0%,"1,560,854","98,941",86221,78757,81127,88578,93669,129553,169679,194765,234335,305229
232,NM,CO,HDN,Hayden,Yampa Valley,P,N,0%,"1,280,863","92,245",91823,99969,106534,110044,122480,136600,139642,131448,129755,120323
233,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,0%,"792,408","86,198",70651,65756,71862,61413,58197,56771,62138,65187,82218,112017
234,WP,HI,MKK,Kaunakakai,Molokai,P,N,0%,"856,652","79,597",63879,72421,82136,88688,65984,89468,105953,76728,65240,66558
235,SW,TX,CLL,College Station,Easterwood Field,P,N,0%,"884,782","91,127",87409,70551,71555,72188,73287,80948,90895,85754,87484,73584
236,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,0%,"1,102,400","95,351",84853,86408,83731,85715,88068,98225,112440,117129,132077,118403
237,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,0%,"1,469,093","97,063",109520,109185,112749,127184,121164,124667,142365,161087,187997,176112
238,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,0%,"1,072,812","89,501",103501,119608,121733,121390,109991,91866,85665,77221,79953,72383
239,SW,TX,ABI,Abilene,Abilene Regional,P,N,0%,"901,159","93,656",82758,74523,80434,73605,81172,87682,90369,90918,78269,67773
240,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,0%,"969,539","90,214",82742,84751,84136,83902,76401,85095,97344,93795,100546,90613
241,GL,OH,LCK,Columbus,Rickenbacker International,P,N,0%,"230,237","49,486",17765,6513,7597,4445,6415,11706,3833,2670,34948,84859
242,AL,AK,ADQ,Kodiak,Kodiak,P,N,0%,"864,022","79,966",79930,78749,81149,80303,78375,82057,81713,77343,78128,66309
243,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,0%,"772,130","72,027",67989,68222,65193,64536,62498,68197,74518,78918,73882,76150
244,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,0%,"434,990","82,298",71757,63149,56044,50632,28368,36935,28996,13884,1064,1863
245,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,0%,"726,507","90,732",78395,81377,82420,82163,78345,87812,77579,67684,,
246,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,0%,"1,191,020","82,625",95210,105494,108172,108988,98090,108325,120465,107314,122443,133894
247,AL,AK,SCC,Deadhorse,Deadhorse,P,N,0%,"457,258","56,001",48588,43837,37711,37319,31395,99719,52517,21961,13703,14507
248,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,0%,"789,684","78,876",77795,79889,73821,93772,86366,55307,55785,60737,65895,61441
249,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,0%,"335,744","74,749",65118,47847,43329,43807,9767,355,11175,9861,10522,19214
250,SO,NC,JQF,Concord,Concord Regional,P,N,0%,"90,537","30,286",12183,10729,10961,9358,7191,6149,3148,343,85,104
251,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,0%,"857,185","86,625",85789,73841,72602,74357,73841,76168,78482,79076,85997,70407
252,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,0%,"395,493","71,757",47737,56266,55647,46267,20759,21517,15370,24177,24112,11884
253,NM,UT,SGU,St. George,St George Regional,P,N,0%,"545,207","59,321",54574,53977,48582,37596,39037,46586,53773,53993,49667,48101
254,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,0%,"627,014","69,334",65281,56815,61325,65340,55174,50984,56134,56120,46399,44108
255,NM,ID,SUN,Hailey,Friedman Memorial,P,N,0%,"662,393","65,801",51496,47734,50885,52755,49549,64233,67469,70057,69892,72522
256,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,0%,"594,497","68,123",58323,62472,60831,62109,66627,51765,44238,40948,40189,38872
257,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,0%,"684,019","62,479",62209,62197,62845,61737,62210,64379,69726,66357,66444,43436
258,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,0%,"681,416","63,128",61274,63032,62738,62177,57472,66322,64717,63417,58140,58999
259,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,0%,"311,984","65,983",47518,40102,37048,27717,17391,17837,17572,12479,6934,21403
260,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,0%,"402,828","65,649",65683,69038,58672,44603,25074,16489,14032,14969,15140,13479
261,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,0%,"558,986","55,156",49479,49213,45486,45206,43399,42929,44709,55841,56705,70863
262,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,0%,"1,580,884","85,184",87648,95717,100596,124560,138858,191906,204152,206980,177761,167522
263,NM,UT,PVU,Provo,Provo Municipal,P,N,0%,"143,613","62,011",30090,29755,14858,1124,1568,712,595,1070,948,882
264,CE,MO,COU,Columbia,Columbia Regional,P,N,0%,"331,285","55,556",45714,41573,40990,38293,26842,12719,11516,15809,22005,20268
265,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,0%,"319,130","61,400",57165,56138,47167,37101,20136,7961,9159,8505,7617,6781
266,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,0%,"685,143","65,973",62296,56301,54955,56021,60353,64865,71008,68236,65705,59430
267,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,0%,"650,819","57,076",54308,57673,55902,53832,60028,69835,72016,57209,58094,54846
268,SW,TX,ACT,Waco,Waco Regional,P,N,0%,"733,678","66,631",62634,59836,61164,61401,66089,68381,76410,74235,71684,65213
269,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,0%,"525,105","56,589",52051,51347,50927,46837,51561,48275,46576,40310,39022,41610
270,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,0%,"706,226","62,712",62670,76372,72568,65489,59662,58863,60521,62256,64564,60549
271,AL,AK,OME,Nome,Nome,P,N,0%,"656,979","58,610",58020,59807,58892,56658,54994,59984,62915,63017,60357,63725
272,NE,MA,ORH,Worcester,Worcester Regional,P,N,0%,"204,965","57,818",8007,10750,53541,35833,17241,3182,460,14823,2036,1274
273,WP,CA,ACV,Arcata,Arcata,P,N,0%,"957,480","51,688",56682,61705,70455,93402,102440,106637,105969,103515,108698,96289
274,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,0%,"605,693","60,547",60020,61987,62071,61899,59007,52287,47116,44611,48784,47364
275,NM,UT,ENV,Wendover,Wendover,GA,None,0%,"484,344","51,190",52162,59155,58457,50734,50360,46264,46883,45519,23620,0
276,WP,NV,HND,Las Vegas,Henderson Executive,P,N,0%,"326,483","65,209",154051,22372,16946,13272,20160,692,114,122,43,33502
277,SO,SC,FLO,Florence,Florence Regional,P,N,0%,"669,365","59,314",59894,67745,68169,82961,77146,64835,46452,45331,54142,43376
278,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,0%,"647,877","54,147",55526,55678,63909,68054,71389,77533,54728,49734,50968,46211
279,SO,GA,CSG,Columbus,Columbus,P,N,0%,"626,785","50,883",59675,74336,78718,63726,48526,51288,46972,44872,50889,56900
280,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,0%,"353,081","42,294",40759,38547,39134,35248,32443,32108,24856,23838,22874,20980
281,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,0%,"532,951","52,362",56313,50484,49095,43904,42248,45002,49205,45881,48977,49480
282,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,0%,"463,738","56,995",51568,43673,41083,40141,39494,40674,39009,39183,36740,35178
283,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,0%,"277,553","37,519",28909,10203,16706,19520,20291,24806,22121,30444,25954,41080
284,SO,AL,DHN,Dothan,Dothan Regional,P,N,0%,"565,950","50,309",48423,46452,46388,41453,42071,47859,48019,57552,68330,69094
285,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,0%,"274,788","45,708",22540,13517,2012,10257,17079,49962,58057,26065,7312,22279
286,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,0%,"489,070","46,906",45298,38836,37248,44296,43952,47191,45948,46526,48490,44379
287,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,0%,"511,627","46,454",51395,44737,41620,47741,43631,54925,54042,50872,38128,38082
288,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,0%,"128,757","42,873",17733,28673,28165,11308,5,0,,,,
289,GL,MI,SAW,Gwinn,Sawyer International,P,N,0%,"599,014","41,681",42335,38302,52326,57371,53802,56172,67999,68625,62951,57450
290,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,0%,"188,655","58,987",34980,23729,19001,10383,8924,9164,7603,5604,5010,5270
291,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,0%,"333,080","36,373",33072,31832,32139,29064,33456,29672,28711,28410,24793,25558
292,AL,AK,HOM,Homer,Homer,P,N,0%,"434,380","38,862",37705,39167,35863,38407,38532,44288,44114,40213,38485,38744
293,WP,HI,LNY,Lanai City,Lanai,P,N,0%,"531,048","51,918",47323,45692,43596,43922,42594,52075,61649,50896,45890,45493
294,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,0%,"434,449","35,636",36814,37030,38066,42537,41516,38269,35094,39829,42200,47458
295,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,0%,"459,114","46,483",45477,42050,43858,43737,40462,38945,41085,29878,37252,49887
296,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,0%,"387,271","38,664",41140,38856,35860,36329,36275,35669,27521,29046,33629,34282
297,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,0%,"732,462","54,712",58348,60372,61006,73776,66893,79912,84790,62115,67282,63256
298,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,0%,"426,685","35,983",33465,32389,36148,33861,39359,42870,45878,46973,40777,38982
299,AL,AK,AKN,King Salmon,King Salmon,P,N,0%,"430,627","35,012",35450,35803,40345,41514,40530,42310,42253,38220,40160,39030
300,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,0%,"294,301","35,356",32616,34652,37262,38850,38391,34712,15112,9298,9570,8482
301,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,0%,"348,951","37,229",32882,28080,28698,26690,26759,29820,35653,36348,34549,32243
302,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,0%,"344,483","32,579",32450,31284,31655,30059,27901,29594,24153,26725,37269,40814
303,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,0%,"419,656","31,743",30780,31181,36516,37316,42130,36035,42622,48073,44865,38395
304,WP,CA,VCV,Victorville,Southern California Logistics,GA,None,0%,"314,929","23,603",7229,26423,36445,32385,43137,31903,29933,25614,25836,32421
305,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,0%,"385,468","31,260",31276,33494,33627,35494,33044,39200,38758,34712,38527,36076
306,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,0%,"372,959","28,678",28601,26059,38533,35576,26991,29606,33523,39153,44405,41834
307,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,0%,"333,591","38,213",35790,5571,13670,17394,21208,28086,34806,38626,46253,53974
308,NM,WY,COD,Cody,Yellowstone Regional,P,N,0%,"311,770","32,317",31140,28551,28019,28454,26631,25863,26857,28559,28483,26896
309,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,0%,"56,528","30,788",5703,9455,8979,1603,,,,,,
310,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,0%,"153,838","16,328",13542,2314,706,1183,1964,27002,29019,26762,29449,5569
311,EA,VA,NGU,Norfolk,Norfolk NS (Chambers Field),GA,None,0%,"390,040","29,747",38415,36565,38143,36093,33170,37401,38843,32505,29241,39917
312,AL,AK,DUT,Unalaska,Unalaska,P,N,0%,"320,494","29,370",28556,30735,30048,26711,26705,28234,30581,29260,30561,29733
313,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,0%,"431,609","33,625",37434,36975,40074,35854,33000,33988,37637,38144,65142,39736
314,WP,CA,RDD,Redding,Redding Municipal,P,N,0%,"541,868","23,170",24875,29175,38290,54420,54141,63331,64284,66695,62509,60978
315,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,0%,"283,039","27,173",29130,32714,32846,29230,26869,28232,26410,21876,15015,13544
316,CE,NE,AUH,Aurora,Aurora Municipal - Al Potter Field,GA,None,0%,"12,122",0,154,375,11500,81,12,0,,,,
317,WP,HI,JHM,Lahaina,Kapalua,GA,None,0%,"478,667","24,428",20031,44568,43898,40060,42416,52328,49852,59256,53111,48719
318,CE,MO,JLN,Joplin,Joplin Regional,P,N,0%,"162,477","26,380",23329,24489,27379,4078,3776,4892,15816,11498,10056,10784
319,NM,WA,WN22,Seattle,Lake Union,GA,None,0%,"122,589","30,018",2296,13076,23350,25428,28421,0,,,,
320,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,0%,"275,458","26,497",25567,24822,24503,20089,21100,23225,26404,26561,28924,27766
321,NM,MT,BTM,Butte,Bert Mooney,P,N,0%,"343,854","29,738",29490,20895,24806,25433,25178,30431,36844,37635,42751,40653
322,CE,KS,GCK,Garden City,Garden City Regional,P,N,0%,"156,719","26,428",24456,18375,11690,10155,10014,11453,13065,11603,10107,9373
323,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,0%,"303,601","23,994",20984,19522,22297,23206,22255,26831,28880,33211,40140,42281
324,AL,AK,DLG,Dillingham,Dillingham,P,N,0%,"416,012","39,414",26632,39877,30406,42927,29214,32215,42617,43420,42979,46311
325,SO,VI,VI22,Charlotte Amalie,Charlotte Amalie Harbor,GA,None,0%,"609,725","32,909",39505,43542,44452,47424,52204,68552,74373,58389,71555,76820
326,SO,VI,VI32,Christiansted St Croix,Christiansted Harbor-SSB,GA,None,0%,"602,624","33,654",40033,44769,45178,48096,53081,68642,71040,57113,68386,72632
327,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,0%,"200,600","25,344",13123,18901,20353,38363,23083,13837,10548,9256,12778,15014
328,CE,IA,SUX,Sioux City,Sioux Gateway/Col Bud Day Field,P,N,0%,"380,261","31,675",25313,27168,28137,24701,33096,49871,43518,33195,41738,41849
329,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,0%,"278,031","23,843",25312,25545,23024,21186,24826,25354,26767,27232,27729,27213
330,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,0%,"95,889","15,189",12941,10207,5618,10665,13365,1696,2710,5877,5063,12558
331,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,0%,"315,529","28,168",27281,24864,22708,23324,23913,26222,29609,33081,38191,38168
332,SW,TX,BIF,Fort Bliss/El Paso/,Biggs AAF (Fort Bliss),GA,None,0%,"226,459","20,538",20446,24026,29923,14932,29046,20144,12382,20310,17957,16755
333,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,0%,"264,715","23,439",22819,22374,23910,21498,21934,22007,22302,26057,29699,28676
334,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,0%,"306,926","24,956",23775,22214,21566,20825,21039,25756,29491,34458,38411,44435
335,SO,MS,MEI,Meridian,Key Field,P,N,0%,"191,278","6,624",6236,14432,18008,16871,18560,19599,15425,21479,26605,27439
336,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,0%,"116,018","22,037",10831,10153,12012,10694,10234,10344,4813,5477,9701,9722
337,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,0%,"137,528","25,916",30970,27495,26201,19814,6157,665,24,161,89,36
338,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,0%,"178,914","21,385",21827,19824,18717,14349,13173,13269,13733,13626,15550,13461
339,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,P,N,0%,"61,992","19,701",376,95,10,58,13,19573,21331,326,483,26
340,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,0%,"131,039","22,202",21751,30795,17296,16193,10720,103,838,4680,3611,2850
341,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,0%,"282,279","24,686",23371,25974,24508,22519,19834,23901,25464,26705,30818,34499
342,SO,KY,PAH,Paducah,Barkley Regional,P,N,0%,"258,423","20,858",20523,20734,17978,19903,18542,21654,24537,26742,33981,32971
343,SW,TX,GGG,Longview,East Texas Regional,P,N,0%,"253,163","21,867",20870,18787,21112,21830,24944,24835,26333,25353,23437,23795
344,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,0%,"317,072","20,819",18819,11119,26764,25137,26729,26193,37608,41714,43076,39094
345,AL,AK,LHD,Anchorage,Lake Hood,P,N,0%,"201,046","13,545",24026,21033,23497,19789,15018,15184,23647,18540,13727,13040
346,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,0%,"210,706","19,065",20046,18800,18318,18468,17988,19901,20543,19898,19657,18022
347,WP,AZ,PGA,Page,Page Municipal,P,N,0%,"268,100","21,616",26998,23462,23938,20264,30574,33118,17405,21810,26594,22321
348,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,0%,"231,863","20,757",21677,22907,19097,18369,13192,18762,22705,22823,25694,25880
349,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,0%,"180,714","30,939",15842,973,165,1198,14294,20161,25772,25094,24556,21720
350,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,0%,"312,526","20,418",13008,23078,34434,33656,35863,34597,34580,31418,23016,28458
351,EA,NY,ART,Watertown,Watertown International,P,N,0%,"83,917","19,307",18818,16988,4449,2203,2145,524,7471,3672,4612,3728
352,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,0%,"192,175","17,160",15654,15630,17574,16404,15472,16665,18600,19206,20718,19092
